TICKER,Security,GICS-Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213,1948
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",3/12/00,1024478,1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,84839,1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",12/23/09,882835,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/09,745732,1982
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,1997
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",3/4/57,64040,1917
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",9/15/08,1108524,1999
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",9/1/17,1034054,1989
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/57,87347,1926
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789,1979
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",3/17/17,1032208,1998
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",11/21/19,1373715,2003
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,2003
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",3/12/15,4127,2002
SJM,J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419,1897
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",9/30/82,91440,1920
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",4/1/24,1964738,2023
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",3/4/57,92122,1945
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",7/1/94,92380,1967
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",9/30/82,93556,1843
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",6/7/00,829224,1971
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",3/14/03,93751,1792
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",12/22/22,1022671,1993
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",12/23/19,1757898,1985
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,1941
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",3/18/24,1375365,1993
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,2003
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",3/16/17,883241,1986
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,96021,1969
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/19,1283699,1994
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",7/29/19,1113169,1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",3/19/18,946581,1993
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",9/1/04,1116132,2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",10/12/22,1389170,2005
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",12/31/76,27419,1902
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157,2007
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",6/22/20,1094285,1960
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/19,96943,1943
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",9/21/20,97210,1960
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",12/21/20,1318605,2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",3/12/01,97476,1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,1923
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/04,97745,1902
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,1987
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",1/24/14,916365,1938
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",11/17/10,1466258,1871
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,1993
TRV,Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York",8/21/02,86312,1853
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1/21/21,864749,1978
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",12/4/97,92230,1872
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",6/22/20,860731,1966
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",8/10/05,100493,1935
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",11/1/99,36104,1968
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",12/18/23,1543151,2009
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,1972
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",4/18/16,1403568,1990
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",3/4/57,100885,1862
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",9/3/15,100517,1967
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",7/22/02,1090727,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,1997
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,1977
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,1979
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",12/20/02,1035002,1980
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,1998
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",10/2/23,1967680,2023
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,1014473,1995
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,1971
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",11/30/83,732712,1877
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320,1989
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/04,1792044,1961
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",6/8/22,1705696,2017
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",12/21/09,1403161,1958
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,1909
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/19,11544,1967
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2/27/19,943452,1869
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,2014
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",8/31/82,104169,1962
DIS,Walt Disney,Communication Services,Movies & Entertainment,"Burbank, California",6/30/76,1744489,1923
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",4/11/22,1437107,1923
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",8/31/98,823768,1968
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",1/2/02,1000697,1958
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,1896
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,1852
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/20,105770,1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/09,106040,1970
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",6/25/15,1732845,2015
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",10/1/79,106535,1900
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536,2016
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",6/30/81,277135,1927
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/57,72903,1909
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",11/1/11,1524472,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/19,877212,1969
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,1927
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",6/21/13,1555280,1952
